cityname,climate_zone,city_area_km2,UGS_area_km2,WMEE,IMEE,CE,MPA,FRAC,SHAPE,MCH,PRE,TMP,WS,NTL
Shangqiu,Temperate,186.0,5.820688,3,1.722190576,0.030642864,0.031428698,1.168459972,1.472412836,2.539236593,693.328418,27.74283548,1.13347571,17.77674204
Shantou,Temperate,1961.0,125.720004,0,3.042076148,0.142841492,0.034938104,1.158144176,1.400574847,3.266759705,1590.320467,28.47072297,1.263254895,12.00179322
Shenyang,Cold,748.0,91.510749,9,2.1455847,0.021642094,0.067142149,1.210324493,1.645647002,3.790801518,657.5465359,24.02743116,1.040371607,27.43470951
Shijiazhuang,Arid,493.0,53.071142,9,2.069075597,0.021561871,0.050337821,1.182515679,1.552758613,2.877220143,471.1013198,27.16101875,1.017558864,20.49214823
Songzhuang,Arid,165.0,24.077384,9,1.987072395,0.057898001,0.045146893,1.2139279,1.60394309,3.276429335,434.1891285,26.50643544,1.135040691,13.3463628
Suqian,Temperate,197.0,17.266406,1,2.397474529,0.127420926,0.034079919,1.191960627,1.504966501,3.201614863,668.692715,27.25857956,1.283612194,16.62561968
Tai'an,Cold,158.0,21.856119,0,1.862360005,0.11032228,0.045122846,1.188038916,1.5396875,2.838440082,700.9234664,26.86133045,0.901027877,32.12054432
Taiyuan,Arid,367.0,12.77716,0,1.269949497,0.159810546,0.029319379,1.175964138,1.491879587,1.584651002,418.0950266,23.51904918,1.207179513,40.27611997
Taizhou,Temperate,332.0,28.676682,9,2.21311563,0.050959481,0.065588115,1.166362532,1.443955695,3.245753134,1659.821434,27.02109715,1.239229345,16.65223135
Tangshan,Cold,455.0,38.276759,2,1.85913221,0.113286306,0.037264029,1.203119763,1.544565753,2.291787043,560.6208734,25.91196316,1.111601634,16.7133399
Tengzhou,Temperate,167.0,5.236998,2,1.813738425,0.103137677,0.027286779,1.1788692,1.478775791,1.932601204,667.008237,27.36596299,0.908609287,8.774190165
Tianjia'an,Temperate,168.0,20.62195,11,2.642705218,-0.031938775,0.051831449,1.174848765,1.497629803,3.816566171,725.1889565,27.88119451,1.1179402,8.591195429
Tianjin,Arid,671.0,81.102206,10,2.022539807,-0.012084895,0.06082541,1.190189002,1.617535524,3.262224324,507.2348789,26.69805476,0.992871225,30.98041395
Urumqi,Arid,355.0,43.334571,0,1.832201389,0.184658095,0.051239738,1.183918749,1.557332725,2.920497289,179.0539758,24.72801723,1.331903749,33.67521588
Weifang,Cold,235.0,22.107314,1,1.966703453,0.106456219,0.045842769,1.174895504,1.531167155,2.523960612,631.7481053,26.43422725,1.153958825,20.69336356
Wenzhou,Temperate,514.0,40.67781,1,3.03934124,0.124211865,0.111212264,1.168260191,1.459098847,3.328303659,1644.707196,27.08907289,1.260909132,19.61048885
Wuhan,Temperate,772.0,60.922715,3,2.147887252,0.107361356,0.049906418,1.168808423,1.4971671,3.311844173,1102.77056,28.56891602,1.317698185,27.71209471
Wuhu,Temperate,197.0,10.017993,4,2.951238648,0.08336444,0.038235481,1.167999916,1.487175807,2.418254505,1129.698874,28.20764024,1.686080521,18.65775245
Xi'an,Arid,691.0,54.668518,9,1.495308807,0.057550731,0.039110351,1.168560543,1.485630847,2.769922826,725.1430812,26.2879571,1.168719338,37.24142657
Xiamen City,Temperate,185.0,23.126867,2,2.228792844,0.105761321,0.125702395,1.162248598,1.511756201,3.838813559,1111.549682,28.26787315,0.98507432,43.64649485
Xiangyang,Temperate,181.0,15.549008,11,2.209892423,0.007777731,0.041026718,1.171137058,1.498868208,2.558998701,741.8698254,27.63513779,1.172950773,13.19428929
Xiuying District,Tropical,199.0,26.070804,11,2.008830122,-0.071359281,0.049101413,1.151365306,1.47149484,3.847676751,1698.669775,29.35208794,1.200158996,27.60843061
Xuchang,Temperate,352.0,24.152803,0,2.114126592,0.167536497,0.047263534,1.174054873,1.510425159,3.168312693,654.5125913,27.45816842,1.112824298,7.850815886
Xuzhou,Temperate,258.0,32.63919,5,1.965680174,0.083725067,0.074918581,1.17235456,1.524496117,3.54149933,635.1483416,27.72221958,1.046908047,18.22176157
Yancheng,Temperate,223.0,10.739847,5,1.722299281,0.0977251,0.026749186,1.189674996,1.499030484,1.868918266,902.3805179,26.39186447,1.203186597,29.11701821
Yangzhou,Temperate,156.0,14.190847,3,1.798092411,0.124901646,0.031321559,1.17979483,1.495004661,2.318977255,961.8193604,28.02904118,1.068814843,28.21318667
Yichang,Temperate,156.0,17.673094,8,2.597598979,0.050822638,0.093163848,1.184155328,1.580552996,3.058618414,764.0659077,27.74436889,1.215077487,16.29892544
Yinchuan,Arid,253.0,30.93139,3,2.68726477,0.210032767,0.050925758,1.18920945,1.579265688,3.145124783,187.2679471,23.10317459,1.420388211,25.14125365
Yueqing,Temperate,233.0,25.704772,8,3.369802761,0.083363982,0.11194396,1.176843207,1.482961411,3.526452143,1662.065122,26.73026112,1.050580134,12.43772537
Zhangjiagang,Temperate,355.0,21.7738,5,3.13345816,0.05921995,0.032281829,1.175010582,1.471470415,2.679532196,1015.473162,26.97595597,1.034638083,14.25397515
Zhangzhou,Temperate,417.0,43.882759,2,2.470192246,0.090328111,0.045232796,1.169975832,1.430904392,3.972207844,1164.562365,28.40671861,1.173379256,18.27570613
Zhengzhou,Temperate,642.0,58.585603,4,1.386767684,0.082251572,0.040410619,1.179819336,1.51538617,2.768994673,575.4423986,27.22233766,1.270548654,26.49549562
Zhuzhou,Temperate,161.0,23.262325,4,2.398022886,0.132176112,0.090928783,1.167523323,1.512609365,4.888680499,1330.129133,28.69481087,1.22557514,17.89492133
Zibo,Cold,429.0,23.458711,7,2.35055287,0.011337222,0.033001766,1.173883149,1.493243928,2.471473596,629.3687136,26.94146496,1.092475106,10.25231426
Zucheng,Cold,170.0,8.518322,3,3.115337321,0.148408289,0.048059988,1.181792521,1.532365316,2.526228169,662.2640236,25.66134638,1.30392201,7.793802621
